client_id,created_at,enable_ai_esp_matching,follow_up_percentage,id,max_leads_per_day,min_time_btwn_emails,name,parent_campaign_id,schedule_start_time,scheduler_cron_value.days,scheduler_cron_value.endHour,scheduler_cron_value.startHour,scheduler_cron_value.tz,send_as_plain_text,status,stop_lead_settings,track_settings,unsubscribe_text,updated_at,user_id
1885,2025-04-07T13:17:21.874Z,False,100,1762902,100,20,OOO,1762901,,"[1, 2, 3, 4, 5]",16:09,10:11,America/New_York,False,ACTIVE,REPLY_TO_AN_EMAIL,"[""DONT_EMAIL_OPEN"", ""DONT_LINK_CLICK""]",,2025-09-14T04:00:20.863Z,2368
4079,2025-03-12T10:19:08.466Z,False,100,1646900,100,5,OOO,1646897,,"[1, 2, 3, 4, 5]",14:57,09:58,America/New_York,False,ACTIVE,REPLY_TO_AN_EMAIL,[],,2025-09-14T09:07:07.231Z,2368
4079,2025-03-12T10:19:08.414Z,False,50,1646897,300,10,03/12 | MBM Sales | Sequence 16 : Lead with Pain and Offer to Solve It | NOTRACK | Feb2025_Endy | Loom Outreach Leads,,,"[1, 2, 3, 4, 5, 0, 6]",17:36,08:00,America/New_York,True,ACTIVE,REPLY_TO_AN_EMAIL,[],,2025-09-14T04:00:20.863Z,2368
4079,2025-03-10T14:42:58.175Z,False,100,1640252,100,5,OOO,1640250,,"[1, 2, 3, 4, 5]",19:58,09:53,America/New_York,False,ACTIVE,REPLY_TO_AN_EMAIL,[],,2025-09-14T09:07:39.564Z,2368
4079,2025-03-10T14:42:58.121Z,False,50,1640250,100,10,03/10 | MBM Sales | Sequence 18 - Direct offer with proof (Saas) | NOTRACK | Feb2025_Endy | Saas Leadset,,,"[1, 2, 3, 4, 5, 0, 6]",19:15,07:54,America/New_York,True,ACTIVE,REPLY_TO_AN_EMAIL,[],,2025-09-14T04:00:20.863Z,2368
4079,2025-03-04T16:04:48.111Z,False,50,1618207,300,10,03/04 | MBM Sales | Sequence 16 : Lead with Pain and Offer to Solve It | SEO | NOTRACK | Feb2025_Endy,,,"[1, 2, 3, 4, 5, 0, 6]",16:17,09:36,America/New_York,True,ACTIVE,REPLY_TO_AN_EMAIL,[],,2025-09-14T04:00:20.863Z,2368
4079,2025-03-04T15:55:34.322Z,False,100,1618168,100,5,OOO,1618164,,"[1, 2, 3, 4, 5]",16:26,06:52,America/New_York,False,ACTIVE,REPLY_TO_AN_EMAIL,[],,2025-09-14T04:00:20.863Z,2368
18347,2025-02-26T08:24:33.781Z,False,40,1576963,100,20,Warm FU,1576962,,"[1, 2, 3, 4, 5]",16:21,10:59,America/New_York,False,ACTIVE,REPLY_TO_AN_EMAIL,[],,2025-09-14T04:00:20.863Z,2368
2754,2025-02-20T13:02:01.482Z,False,100,1536258,100,20,OOO,1536255,,"[1, 2, 3, 4, 5]",17:22,09:21,Etc/GMT,False,ACTIVE,REPLY_TO_AN_EMAIL,"[""DONT_LINK_CLICK""]",,2025-09-14T00:00:20.945Z,2368
1598,2025-02-11T03:31:51.694Z,False,50,1477790,100,20,Meta Lead Submission Auto Trigger,,,"[1, 2, 3, 4, 5, 0, 6]",17:11,11:27,America/New_York,False,ACTIVE,REPLY_TO_AN_EMAIL,"[""DONT_EMAIL_OPEN"", ""DONT_LINK_CLICK""]",Not interested anymore? Click here.,2025-09-14T04:00:20.863Z,2368
831,2025-02-07T11:03:41.300Z,False,40,1459950,100,9,"Response after ""Yes we offer seo""",1459944,,"[1, 2, 3, 4, 5]",18:50,05:35,America/New_York,True,ACTIVE,REPLY_TO_AN_EMAIL,[],,2025-09-14T04:00:20.863Z,2368
831,2025-02-07T11:03:41.293Z,False,100,1459949,100,7,OOO,1459944,,"[1, 2, 3, 4, 5]",17:39,08:13,Etc/GMT+5,False,ACTIVE,REPLY_TO_AN_EMAIL,[],,2025-09-14T05:00:20.870Z,2368
831,2025-02-07T11:03:41.210Z,False,50,1459944,319,15,2/7 SEM | Sequence #10: 2 step - question only | Apollo+ Findymail ( Mixed ) | Using Reused July2024 senders | Region – US | NOTRACK | MX Provider - ( Mix ),,,"[1, 2, 3, 4, 0, 6, 5]",16:50,06:11,America/New_York,True,ACTIVE,REPLY_TO_AN_EMAIL,"[""DONT_EMAIL_OPEN"", ""DONT_LINK_CLICK""]","If you're not interested, please click here to stop future correspondence. Thanks.",2025-09-14T11:03:33.717Z,2368
